#vak;opocode;volgtijdelijkheden
#------------------------------
Computer Architecture;JPW275;
Microcontrollers;JPW276;
Introduction to Data networks;JPW293;
Digitale technieken;JPW279;
Elektronische netwerken;JPW278;
Relational Databases;JPW107;
Java Fundamentals;JPW104;
Java OO Programming;JPW274;
System Administration;JPW277;
Web Design & Usability;JPW0FY;
Web Technology;JPW106;
Wiskundige technieken;JPW273;
Communicatieve vorming 1;JPW0CM;
Operationele versterkers;JPW335;+jpw278;
Internet Of Things 1;JPW334;+jpw276;
Filosofie-Ethiek-RZL;JPW333;
Routing and switching essentials;JPW336;+jpw293;
Scaling Networks;OI3005;+jpw293;
C# OO programming;JPW337;+jpw104+jpw274;
C# Programming techniques;JPW212;+jpw104+jpw274+jpw107;
Project 1;JPW338;+jpw273+JPW275+JPW276+JPW293+JPW104+JPW274+JPW107+JPW277;
Network security;OI3004;+jpw293;
Server Administration;JPW339;+jpw277+jpw293;
User Experience Design;JPW340;+jpw106;
Web scripting;JPW359;+jpw104+jpw274+jpw107+jpw106;
Web development;JPW361;+jpw104+jpw274+jpw107+jpw106;
Ondernemen;OI3006;
Communicatieve vorming 2;JPW0DS;+jpw0CM;
Data security;OI3009;+jpw293+jpw336+jpw277+jpw339;
Beroepsethiek;JPW0G7;+jpw333;
Advanced programming topics;OI3007;+jpw104+jpw274+jpw107+jpw273+jpw337+jpw212;
Enterprise networks;OI3010;+jpw293+jpw336+OI3004+OI3005;
.NET web solutions;OI3011;+jpw104+jpw274+jpw337+jpw212+jpw107+jpw273+jpw106+jpw359+jpw361+jpw0fy+jpw340;
Web & Mobile Development;JPW218;+JPW104+JPW274+JPW107+JPW106+JPW359+JPW361+jpw0fy+JPW340+JPW273+JPW337+JPW212;
Cloud Infrastructure;OI3014;+JPW277+JPW293+JPW339+JPW336+OI3005+OI3004;
Project 2;OI3008;+jpw273+JPW275+JPW276+JPW293+JPW104+JPW274+JPW107+JPW277+JPW0CM+JPW337+jpw336+jpw334+jpw338;
Bachelorproef;OI3012;+jpw273+JPW275+JPW276+JPW293+JPW104+JPW274+JPW107+JPW277+JPW0CM+JPW337+jpw336+jpw334+jpw338;
Stagemoblitieit in Vlaanderen;OI3013;+jpw273+JPW275+JPW276+JPW293+JPW104+JPW274+JPW107+JPW277+JPW0CM+JPW337+jpw336+jpw334+jpw338;
Elektronische uitvoeringstechniek;OI3002;
Toegepaste Elektronica;OI3003;
Filters en oscillatoren;JPW363;+JPW278;
OPAMP-toepassingen;JPW364;+JPW278;
Elektronische Uitvoeringstechniek 1;JPW365;
Signaalverwerking;JPW366;+JPW104;
Wetenschappen voor Elektronica;JPW367;+JPW273;
Telecommunicatie;JPW368;+JPW278;
Digitaal Systeemontwerp;JPW369;+JPW279;
Geavanceerd printontwerp;OI3019;+JPW365;
Hoogfrequenttechniek;OI3020;+JPW363+JPW368;
Vermogenelektronica;OI3021;+JPW364+JPW367;
Internet of Things 3;OI3024;+JPW334+JPW369;
Videotechniek;JPW0GT;+JPW363+JPW368+JPW335+JPW364;
